"soil_moist";"Clay";"WHC";"Magnesium";"Calcium";"bulk_density";"MWD";"C_tot_mg";"N_tot_mg";"P_tot_mg";"pH";"bact16S";"fungITS";"Lat";"Long";"temp";"precip";"bact_sobs";"bact_shan";"bact_pielou";"cerco_sobs";"cerco_shan";"cerco_pielou";"fung_sobs";"fung_shan";"fung_pielou";"beta_b.bray";"beta_f.bray";"beta_c.bray";"mgt_disp"
"143GERcr";0.112299465;24.2;0.517775476;1.45;11.5;1.254909988;0.672984071;15200;1650;964.27;7.13;1564324.375;114521.7509;48.64461667;12.84023333;8.3;874;1710;6.71990208910852;0.902697156624779;410;4.75329142551959;0.790087642218095;131;3.63936432956823;0.746506056739165;0.288271113288508;0.408639980731779;0.33387212196937;2.174890684
"144GERcr";0.225806452;32.9;0.733171761;4.47;24.1;0.991426433;2.713680104;34900;3780;1346.22;7.02;1455245.531;135964.9247;48.64271667;12.83461667;8.3;874;1769;6.73682738953432;0.900865808754724;474;5.1348996239223;0.833424255314554;110;3.03784010018125;0.646282903825963;0.290455586942234;0.461054763948968;0.295679704193506;2.581604862
"145GERcr";0.12195122;30.8;0.524954677;1.23;14.4;1.311309407;0.747709446;31400;1400;573.14;8.03;1560860.5;63799.57102;48.64233333;12.79008333;8.1;871;1614;6.77142843886425;0.916733928481817;416;5.00693731497023;0.830243512783375;105;3.403429613691;0.731297509566407;0.353448501836487;0.438832034419908;0.309612291302523;2.194149361
"159GERcr";0.110350982;11.2;0.446579695;1.49;9.5;1.515512484;1.160623479;11800;1010;616.3;7.56;1423995.125;102885.0161;54.31162;9.98116;8;774;1593;6.69565986181334;0.908086254730641;393;4.87710369990419;0.816414317961181;88;2.8641377386137;0.639696734306884;0.325259762347464;0.460963892159817;0.329316865063886;3.239933712
"160GERcr";0.108910891;20.8;0.455412745;1.16;7.4;1.547311508;0.711531176;13200;1140;597.18;6.9;1500725.188;159630.9743;54.312154;9.979049;8;774;1763;6.81939864793853;0.912321938586615;486;5.21958733625197;0.84374576636262;92;3.14186111612965;0.69482707176461;0.304123032710657;0.499519052138286;0.292991109523432;3.573262259
"161GERcr";0.130997475;18.1;0.454376608;1.32;7.8;1.512768523;0.9109572;13900;1200;703.5;7.23;1828638;93836.63605;54.31663;9.998858;8;774;1670;6.69333890962022;0.901996865061254;459;5.03500750044569;0.821498817578777;115;3.28019175286149;0.69130425138304;0.330012336048561;0.426139871082624;0.29648914831832;3.228236823
"162GERcr";0.097360302;14.5;0.443774581;1.15;7.6;1.373717292;1.157912886;13500;1160;751.91;7.12;1380580.328;89007.36169;54.313605;9.997345;8;774;1642;6.70961625999489;0.906255410785409;446;5.11018116700665;0.837690817021045;92;2.79276104618431;0.617623092852982;0.302256168415992;0.460954400310936;0.32450648335534;3.282470272
"163GERcr";0.144741802;20.6;0.478255898;1.27;8.4;1.494618297;1.159980225;14100;1260;568.52;7.19;1428805.563;81751.73545;54.318436;9.990228;8;774;1610;6.71646668809105;0.909598629076293;363;5.00986966476735;0.849936762999025;110;3.25366538553606;0.692198484481395;0.308171079986459;0.439283333403961;0.364742348107628;3.228236823
"164GERcr";0.133707494;17.1;0.462140232;1;8.9;1.406028608;0.885319309;12600;1100;610.08;7.43;1348321.188;78729.79128;54.315818;9.986797;8;774;1631;6.71559129479001;0.907886705121951;409;4.92690486884399;0.819278057074794;102;3.26753892569981;0.706499055802985;0.340908030510123;0.474047050251449;0.33159512791053;3.381001749
"165GERcr";0.089188322;18.8;0.421582758;1.08;7.3;1.465546707;0.758247082;10700;990;621.16;7.01;1839775.375;79346.82785;54.312005;9.976471;8;774;1622;6.71401528722881;0.908353146733164;500;5.311851623432;0.854736379077646;116;3.14298241597633;0.661180768560284;0.309484084596454;0.426780535745007;0.27302297712578;3.608630721
"166GERcr";0.100719424;17.7;0.412527293;1.31;7.6;1.512599853;0.749500298;11300;1060;660.73;7.05;1750903.563;93417.04967;54.312008;9.976011;8;774;1646;6.71240747771481;0.906334563830198;493;5.18174649899295;0.835696932872124;104;3.02720970020277;0.651799076766432;0.30898885863095;0.444315238874995;0.28771528045178;3.608630721
"167GERcr";0.099727706;15;0.42374751;0.99;6.2;1.544594309;1.063773351;12100;1140;652.18;7.13;1242381.125;73201.12123;54.312146;9.975575;8;774;1649;6.74104767413691;0.909977934521844;409;5.09291502431391;0.846883314584057;103;3.26677545520058;0.704847136369115;0.332796188770683;0.446041581290023;0.325786157252898;3.608630721
"168GERcr";0.107541899;19.3;0.431962043;0.98;6.1;1.485831229;1.055488525;14200;1150;587.01;6.89;1461986.25;77082.69488;54.3127;9.998685;8;774;1849;6.89409301594573;0.916475168016215;479;5.25836872530873;0.852012932629083;139;3.7996386704075;0.770018997343615;0.302834039663957;0.399087644418089;0.307973431764575;3.452269291
"174GERcr";0.078351712;12.2;0.392047673;1.5;5;1.544819663;1.133880093;11700;1040;347.37;7.16;1605237;125342.993;53.350577;13.743945;8.4;563;1690;6.73787000596664;0.906543516285824;460;5.12179522768615;0.835362261771203;131;3.43584294849198;0.704759770879579;0.296488712407773;0.448112343365464;0.337276369167734;2.075900254
"175GERcr";0.066046733;13.1;0.39874047;0.71;4.6;1.477813487;1.273841827;12400;1050;459.26;6.93;2013575.438;183830.4903;53.364539;13.721519;8.4;563;1648;6.67342813318207;0.900923707342797;514;5.32755481214296;0.853470724385327;116;3.32939893646804;0.700396711247241;0.310468419446754;0.453321141672341;0.294686810386958;2.263520304
"176GERcr";0.084009994;18.1;0.39413771;1.31;5.9;1.562154328;0.791950995;10400;840;575.59;7.41;1375339.438;161001.0396;53.336125;13.645535;8.2;574;1667;6.73363763263299;0.907647461092858;477;5.16218345617176;0.836995484940848;121;3.56466085409912;0.743289520300676;0.293198213523984;0.403120573176022;0.292307330621963;2.221483137
"177GERcr";0.073946958;13.4;0.413455784;0.59;8.8;1.484955582;1.668010325;13300;1030;469.65;7.92;1895018.938;110973.9061;53.323387;13.778924;8.5;561;1705;6.74790977792879;0.906816186446295;468;5.2106563936181;0.847472271602633;75;2.43801790955396;0.564684336225553;0.333048378832654;0.47092306452414;0.302773771164442;2.415689647
"178GERcr";0.08542024;12.6;0.431184918;0.5;8;1.474578044;1.359249991;18100;1040;527.21;7.94;2528671.625;131980.9978;53.343158;13.79236;8.6;552;1589;6.68071326471935;0.906368200423799;466;5.13841990872089;0.836306097293253;119;3.58594627688755;0.750335554638045;0.34189701914015;0.453563423874726;0.321932494700012;2.075900254
"179GERcr";0.055125149;10.8;0.351027548;0.78;4.7;1.483833414;0.586519677;9500;760;421.92;7.39;1468717.688;104501.0793;53.372768;13.800448;8.6;552;1723;6.76821508368279;0.908263089061065;413;5.13104134323293;0.851844606273164;111;3.51856190050047;0.747115264176457;0.313601279985611;0.417794752754593;0.333444140470547;NA
"180GERcr";0.081261371;15.9;0.434879392;1.12;9;1.312134238;0.57964769;15200;1320;579.73;7.42;1866357.625;134586.2297;53.32177;13.793753;8.6;551;1628;6.69498992313542;0.905326917963147;439;5.21066021189603;0.856382728988136;111;3.3745114557341;0.716528254727781;0.317994477998535;0.444136448147676;0.305648968251875;NA
"181GERcr";0.052336449;16.9;0.349674791;0.75;3.4;1.124741664;0.785694001;8700;640;423.92;6.86;1663026.063;162251.5073;53.373274;13.801252;8.6;552;1695;6.67243579577336;0.897383016036462;516;5.33661676932091;0.854390898153254;127;3.71618115019989;0.767142367516746;0.341707146748449;0.450629358473479;0.306794743563274;NA
"182GERcr";0.070655633;17.5;0.335962087;0.6;3;1.455789912;0.805978888;8200;630;382.92;6.91;1558738.25;134375.4306;53.372947;13.80056;8.6;552;1728;6.74888574721985;0.905317140423985;514;5.41677848304051;0.867764296899997;106;3.09616252794203;0.663922582767546;0.313679735686219;0.468281217807647;0.299354260878406;NA
"183GERcr";0.05193339;18.1;0.324827254;0.71;3.1;1.509385669;0.458371915;7400;510;401.79;6.75;1608343.25;137046.5086;53.373097;13.800563;8.6;552;1715;6.74734495188042;0.906028254777202;479;5.27309280291406;0.854398673377995;127;3.68327324139545;0.760349089673198;0.345628761205803;0.440217557487732;0.326730383226749;NA
"184SWEcr";0.183610857;43.9;0.589460075;1.15;0.64;1.162139317;0.982236564;22600;2300;1005.46;5.58;1403865.25;153005.5415;59.832631;17.698857;5.8;551;1424;6.44441818260918;0.887511143227634;442;5.01124640024249;0.822687812187482;117;3.52012207167752;0.739183851718556;0.450680973393886;0.505953787771581;0.337209668864991;1.431014719
"185SWEcr";0.167885347;46.9;0.591749072;1.88;0.61;1.195343807;1.149773301;25800;2540;996.95;5.62;553786.6875;63298.76745;59.832631;17.698857;5.8;551;1477;6.49847705465675;0.890474567438941;446;5.00728209108391;0.820822998021406;123;3.49545306924944;0.72637555237198;0.420587134883428;0.487763855539828;0.314335701920931;1.431014719
"186SWEcr";0.149690553;31.6;0.512187779;0.97;0.69;1.231721016;0.841456815;17900;1680;1237.18;6.34;2185938.625;179316.9312;59.832631;17.698857;5.8;551;1659;6.7488442262055;0.910287465696351;524;5.29005219776111;0.844854942634126;131;3.71881847450446;0.762803683208173;0.354447414367027;0.436142404786101;0.284382929894594;1.755569064
"187SWEcr";0.122158137;27.8;0.485441178;1.1;0.4;1.268911889;0.870233089;17200;1630;1069.07;6.38;1489902.438;121801.3373;59.832631;17.698857;5.8;551;1637;6.7249342410812;0.908698692329129;445;5.1621215699204;0.846516675767132;101;3.20318025956961;0.694062104744768;0.352933350860175;0.445662468712204;0.297018581703809;1.755569064
"188SWEcr";0.160012148;31.1;0.544765949;2.06;0.48;1.089817404;1.973742191;19300;1830;1219.78;6.68;1499910.438;159154.1133;59.832631;17.698857;5.8;551;1560;6.70010241895453;0.911275905186451;477;5.16658253711528;0.837708751123438;105;3.51334922937654;0.754916020987936;0.308365984872579;0.427316657457392;0.277561563378668;1.777782969
"189SWEcr";0.149822332;37.2;0.522178948;1.82;0.6;1.221921172;1.979994377;17400;1690;1175.58;6.9;1651168.313;155389.986;59.832631;17.698857;5.8;551;1586;6.73908859063716;0.914522412605969;460;5.04515649126464;0.822862521865498;106;3.23929409099432;0.69461485946802;0.306538873968262;0.424124359017257;0.293391978849568;1.777782969
"190SWEcr";0.157394413;31;0.548229873;2.18;0.37;0.970854676;1.643063285;17900;1780;1143.15;6.62;1705171.75;180593.6547;59.832631;17.698857;5.8;551;1524;6.64622390634796;0.906827521318026;450;4.86491197147814;0.796319334839728;93;2.76390781818243;0.609784257876186;0.312463156708072;0.432445296161502;0.303617594830835;1.777782969
"191SWEcr";0.160246012;23.7;0.529093921;1.78;0.5;1.277143424;1.066961617;19100;1820;1037.91;6.67;1369760.313;145559.4367;59.832631;17.698857;5.8;551;1536;6.69124993465918;0.911995020995464;452;5.12113176598075;0.837650963092962;136;3.71397943624373;0.756002512414888;0.309351701794459;0.408010677914133;0.287397548680466;1.777782969
"192SWEcr";0.148525521;26;0.543103337;2.24;0.3;1.228933104;1.689451768;20200;1870;1078.09;6.67;1755274.688;160753.9757;59.832631;17.698857;5.8;551;1658;6.78059473681363;0.914644375460147;420;5.15830548087462;0.853988072927429;118;3.72634073877262;0.781091401360445;0.313770143915734;0.434664285379999;0.334643362534132;1.777782969
"193SWEcr";0.130194762;27.4;0.48898831;1.93;0.36;1.289466577;1.540994586;16300;1600;1082.6;6.94;2315787.875;90669.47326;59.832631;17.698857;5.8;551;1510;6.64921943280869;0.908380072114557;480;5.13640084639306;0.831969355586641;117;3.52516538852053;0.740242888392156;0.340990355247507;0.415516738824887;0.281994235219785;1.777782969
"194SWEcr";0.133840711;24.2;0.52544564;1.61;0.69;1.379755359;1.484614339;17000;1640;1088.07;6.85;2390156.375;199186.1293;59.832631;17.698857;5.8;551;1616;6.71145708870643;0.908462538455462;496;5.30129162361147;0.854141105530443;123;3.45047020757168;0.717027851129499;0.318017171640181;0.439084489534657;0.270866991403141;1.777782969
"195SWEcr";0.114292151;21.5;0.50218147;2.2;0.49;1.255405719;1.216455099;18700;1760;1060.11;6.87;1626676.688;77729.44021;59.832631;17.698857;5.8;551;1497;6.62031009342404;0.905500252534115;430;5.02287105495803;0.828339210920886;119;3.53987824744126;0.740696123995022;0.340476083563428;0.433038009501889;0.324484944016957;1.777782969
"196SWEcr";0.201398358;21.9;0.481605917;1.13;0.41;1.388660224;0.796107003;15300;1470;1047.29;6.54;1403468.75;108390.5715;59.832631;17.698857;5.8;551;1515;6.60505931453308;0.901939824828766;393;4.98686781559358;0.834788541918922;109;3.42179071887728;0.729383282753139;0.335422904081597;0.474763396646719;0.328781880608611;1.755569064
"198SWEcr";0.11;48.8;0.5580405;3.1;0.35;NA;NA;18700;1650;620.19;6.47;1332204.938;122071.5362;58.347769;13.126463;6.3;656;1435;6.46621776199516;0.889570616812098;413;4.75945993241948;0.790155448182427;128;3.52323704995467;0.726136659977981;0.366515949458735;0.514998684551656;0.343810837491533;1.431014719
"199SWEcr";0.06;45.2;0.522310555;1.52;0.4;NA;NA;16900;1560;546.93;6.1;1052585.031;102028.9601;58.347769;13.126463;6.3;656;1438;6.45544112465741;0.88783297264338;364;4.81875255940141;0.817131902534621;99;3.40412237530702;0.740812532932588;0.436692474359797;0.563000587940617;0.377114213244951;1.431014719
"200SWEcr";0.15;44.3;0.595362842;2.5;0.39;NA;NA;25300;2360;686.24;5.9;1482287.531;86998.32101;58.347769;13.126463;6.3;656;1416;6.35769439875949;0.876247594227041;324;4.4515922903252;0.770072617503952;148;3.924585428413;0.785354956606003;0.413858285435471;0.546428197718944;0.429813355579732;1.406084118
"201SWEcr";0.12;43.2;0.572164059;1.85;0.4;NA;NA;22000;1950;721.35;5.96;1751139.563;166765.5362;58.347769;13.126463;6.3;656;1430;6.45724325719505;0.888762744002299;412;4.94421488070173;0.821158562893776;97;2.89516311720942;0.632862519799355;0.444917060454213;0.502089854017764;0.349564989550827;1.777782969
"202SWEcr";0.14;45.4;0.564662576;1.75;0.5;NA;NA;21300;1910;767.24;6.18;1634247.375;156755.2617;58.347769;13.126463;6.3;656;1598;6.60311241618533;0.895154225156929;413;4.95090136611675;0.821938149159353;151;3.88191499888408;0.773709086425683;0.398800350936473;0.471472448818168;0.336108464594306;1.777782969
"203SWEcr";0.05;45;0.576201677;1.58;0.4;NA;NA;19200;1660;636.56;6.14;1158305.625;104989.6658;58.347769;13.126463;6.3;656;1520;6.56247592926532;0.895721931304536;316;4.76343460727142;0.827596933724192;153;4.13807821057264;0.822607946909563;0.409151220817468;0.509423188365156;0.431422490122474;1.777782969
"204SWEcr";0.14;44.6;0.555127025;1.61;0.65;NA;NA;20000;1710;721.31;6.16;1628667.125;109420.3778;58.347769;13.126463;6.3;656;1585;6.67843785454284;0.906369431766261;361;4.75897480757031;0.808129297506713;156;4.03746319378869;0.799520459195775;0.384803247501126;0.509380361211192;0.352689489456586;1.777782969
"205SWEcr";0.12;45.8;0.563867271;1.84;0.34;NA;NA;21800;1870;696.07;5.95;1525439.688;218629.8061;58.347769;13.126463;6.3;656;1498;6.52705987025415;0.892664317221073;377;4.90095438805817;0.826155061565571;111;3.22854760186813;0.685534960784087;0.403624864124603;0.523608782929507;0.371991626962279;1.777782969
"206SWEcr";0.14;46.5;0.586480319;2.03;0.39;NA;NA;22700;1930;766.39;5.93;1427365.125;164924.0065;58.347769;13.126463;6.3;656;1488;6.48111379285562;0.887193266177457;445;4.98236075393486;0.817038383495216;138;3.53248656903783;0.716928089105508;0.41234156998359;0.497261451525846;0.333383159371058;1.777782969
"207SWEcr";0.12;47.2;0.573794246;2.48;0.38;NA;NA;20000;1650;755.48;6.25;1676848.813;174842.7214;58.347769;13.126463;6.3;656;1562;6.6126615495146;0.899226439673748;355;4.77865735132881;0.813787720657373;122;3.51125351750529;0.730898862600685;0.38047952414811;0.541764640559249;0.381394441327618;1.777782969
"208SWEcr";0.14;42.6;0.531523287;2.04;0.46;NA;NA;17200;1560;744.52;6.42;1675195.25;139128.8354;58.347769;13.126463;6.3;656;1590;6.68540785030834;0.906927702472368;380;4.77214511494306;0.803368272043933;132;3.65473491230533;0.748491331462705;0.34650192774503;0.48472135169185;0.353003913990978;1.777782969
"209SWEcr";0.13;46.2;0.583127558;1.8;0.34;NA;NA;21900;1820;589.22;6.76;1938811.563;140858.4278;58.347769;13.126463;6.3;656;1638;6.76770379468525;0.914402422097803;442;5.04559869676045;0.828327370374964;107;2.93258500648381;0.627582372556881;0.323985900575754;0.477493361799583;0.30884624816483;1.310069755
"211SWEcr";0.138686131;21.9;0.445364386;0.32;0.19;1.462217963;2.326275703;18100;1700;494.96;6.31;1311449.188;117631.9926;55.66917;13.1027;8;631;1606;6.5431025510184;0.886418867668076;520;5.22504748616545;0.835495764849558;105;3.51077873046924;0.754363695932737;0.34233452398399;0.445087072699174;0.294172342640831;NA
"212SWEcr";0.137037037;24.8;0.378500044;0.64;0.27;1.521251219;0.695931833;12600;1140;491.76;6.38;1117236.75;95505.1212;55.66917;13.1027;8;631;1566;6.56501665266292;0.892437041933369;334;4.84723633903994;0.834128159151236;103;3.01124838618344;0.649714016468021;0.370718643517831;0.495001886923789;0.404598662895787;1.431014719
"214SWEcr";0.31;16.4;0.578229368;0.3;0.22;1.059127453;1.125481606;28600;1870;1112.51;5.4;1090453.156;52052.58008;63.81083;20.24199;2.7;572;1184;6.19758955552186;0.875779671742082;288;4.69842126912801;0.829675800424308;67;2.55760957022087;0.60827503975578;0.576077481329991;0.6446388923457;0.489926293676288;1.332337213
"215SWEcr";0.29;9.7;0.581211984;0.29;0.4;1.149594117;1.389704828;26700;1680;1151.38;5.78;902003.3906;33140.14551;63.81083;20.24199;2.7;572;1423;6.43125595893378;0.885784166641911;370;5.10833456257358;0.86384238880119;113;3.56368260067861;0.7538375816286;0.517670012398408;0.609480420558983;0.423816984556577;1.332337213
"216SWEcr";0.28;9.4;0.556333184;0.31;0.52;1.15046145;0.91712707;26500;1640;1238.01;5.91;852932.2969;29835.37207;63.81083;20.24199;2.7;572;1434;6.4823564629944;0.89187638355657;293;4.86003060477353;0.85561318982779;84;3.04967559224061;0.688287449175678;0.503817994880587;0.580262026988974;0.487303687192158;1.332337213
"217SWEcr";0.3;9.2;0.580756247;0.26;0.34;1.274219605;NA;27300;1760;1315.21;5.59;1000628.359;35986.38086;63.81083;20.24199;2.7;572;1351;6.31467265580894;0.87599150455826;356;4.99588777246439;0.850373902491927;130;3.76034037834312;0.772534928436134;0.536530206801605;0.611479353901792;0.447741790345276;1.332337213
