"","country_ID","Sample_ID","country","landuse","landuse_ID","SM","Clay","Ctot_mg","Ntot_mg","Ptot_mg","pH","Lat","Long","MAT","MAP"
"s002","SPA","SP2","Spain","cropland","cr",0.09,11.85,6600,540,157.58,5.58,37.64241,-5.28839,17.7,619
"s003","SPA","SP3","Spain","cropland","cr",0.079,30.49,11500,950,101.41,8.2,37.65983,-5.282124,17.7,619
"s005","SPA","SP5","Spain","cropland","cr",0.192,25.55,41500,1010,465.18,8.27,37.4133,-5.584381,18,599
"s006","SPA","SP6","Spain","cropland","cr",0.175,32.42,43200,1080,470.78,8.21,37.40317,-5.588811,18,599
"s008","SPA","SP8","Spain","cropland ","cr",0.072,9.86,7600,660,941.29,6.45,40.05874,-4.416166,14.9,366
"s009","SPA","SP9","Spain","cropland ","cr",0.054,10.81,6600,640,900.9,6.52,40.05793,-4.416149,14.9,366
"s011","SPA","SP11","Spain","cropland ","cr",0.091,41.65,7200,800,380.82,8.12,40.06371,-4.420127,15,361
"s012","SPA","SP12","Spain","cropland ","cr",0.077,43.91,7500,800,278.9,7.45,40.0639,-4.420142,15,361
"s014","SPA","SP14","Spain","cropland ","cr",0.06,18.82,23700,1420,336.99,8.05,41.54509,-4.464584,11.9,432
"s015","SPA","SP15","Spain","cropland ","cr",0.057,12.39,42800,1260,506.91,8.15,41.51923,-4.463892,11.6,436
"s017","SPA","SP17","Spain","cropland ","cr",0.063,23.56,9700,1150,282.79,7.21,40.52452,-3.300993,13.7,421
"s018","SPA","SP18","Spain","cropland ","cr",0.042,13.42,9900,1000,360.63,8.06,40.52339,-3.30303,13.7,421
"s020","SPA","SP20","Spain","cropland ","cr",0.043,14.01,10400,710,354.97,8.27,40.51571,-3.309145,13.7,421
"s021","SPA","SP21","Spain","cropland ","cr",0.04,15.21,11300,830,372.82,8.19,40.51566,-3.309169,13.7,421
"s023","SPA","SP23","Spain","cropland ","cr",0.052,20.05,35300,1340,572.93,8.13,40.06727,-3.547293,14.7,406
"s024","SPA","SP24","Spain","cropland ","cr",0.044,18.3,34900,1110,536.22,8.09,40.06759,-3.542605,14.7,406
"s026","SPA","SP26","Spain","cropland ","cr",0.026,16.17,9700,1000,473.28,7.05,40.99853,-5.121391,11.8,384
"s027","SPA","SP27","Spain","cropland ","cr",0.037,22.34,8600,750,605.4,8.08,40.98531,-5.125259,11.8,385
"s029","SPA","SP29","Spain","cropland ","cr",0.072,22.43,51000,1910,1077.94,7.87,41.74506,1.511950509,12.5,703
"s030","SPA","SP30","Spain","cropland ","cr",0.059,22.43,54100,1830,816.61,7.86,41.74491,1.511196403,12.5,703
"s032","SPA","SP32","Spain","cropland ","cr",0.045,16.52,17600,1170,471,8.04,41.65816571,2.329518782,15.2,693
"s033","SPA","SP33","Spain","cropland ","cr",0.031,19.99,28200,1870,1206.21,7.98,41.65832,2.319836689,15.2,693
"s034","FRA","FR1","France","cropland","cr",0.116,24.9,9200,1080,430.22,7.34,43.529,1.5015,12.9,705
"s035","FRA","FR2","France","cropland","cr",0.144,35.9,8300,1070,291.96,6.68,43.5346,1.4987,12.5,721
"s037","FRA","FR4","France","cropland","cr",0.095,21,79800,1250,143.97,7.98,43.647444,3.884251,13.7,752
"s038","FRA","FR5","France","cropland ","cr",0.077,20.4,77700,1420,74.5,7.91,43.647151,3.88559,13.7,752
"s040","FRA","FR7","France","cropland","cr",0.073,27.9,50700,1010,443.12,8.03,43.6167,3.974,13.9,754
"s041","FRA","FR8","France","cropland","cr",0.068,31.3,54100,1120,405.35,8.01,43.615902,3.976568,13.9,754
"s042","FRA","FR9","France","cropland","cr",0.063,30,54200,1000,505.77,7.97,43.61605,3.975727,13.9,754
"s043","FRA","FR10","France","cropland ","cr",0.088,34.5,59100,940,348.57,8.05,43.615201,3.975673,13.9,754
"s044","FRA","FR11","France","cropland ","cr",0.064,27.2,52300,920,349.3,8.09,43.6139,3.97918,13.9,754
"s046","FRA","FR13","France","cropland","cr",0.14,40.1,19000,1730,416.94,7.87,47.1357,5.53039,10.5,890
"s047","FRA","FR14","France","cropland ","cr",0.12,34.4,16900,1550,676.28,7.83,47.135861,5.52108,10.5,890
"s048","FRA","FR15","France","cropland ","cr",0.099,36.3,12300,1300,570.8,6.5,47.131621,5.53161,10.5,890
"s049","FRA","FR16","France","cropland ","cr",0.093,31.9,10800,1170,442.34,6.9,47.133361,5.45433,10.7,843
"s050","FRA","FR17","France","cropland ","cr",0.163,26.4,90200,3170,873.08,7.9,47.133872,5.33897,10.9,813
"s051","FRA","FR18","France","cropland","cr",0.097,30.4,13100,1410,750.85,7.1,47.143577,5.35308,10.9,813
"s054","FRA","FR21","France","cropland","cr",0.089,32,10400,1000,786.49,6.81,47.243276,5.100211,10.7,765
"s055","FRA","FR22","France","cropland","cr",0.108,43.4,18300,1780,698.21,7.52,47.240649,5.09639,10.7,765
"s056","FRA","FR23","France","cropland","cr",0.111,42.8,18600,1890,1739.87,7.2,47.235864,5.103856,10.7,765
"s057","FRA","FR24","France","cropland","cr",0.139,45.1,23000,2160,968.72,7.91,47.232725,5.111105,10.7,765
"s060","FRA","FR27","France","cropland","cr",0.135,51.6,33400,3320,1213.3,7.33,47.38979,4.774691,8.9,897
"s061","FRA","FR28","France","cropland","cr",0.119,50.4,33100,3290,1162.98,7.41,47.389958,4.774793,8.9,897
"s062","FRA","FR29","France","cropland","cr",0.125,48.2,34500,3320,1122.36,7.69,47.390044,4.774831,8.9,897
"s063","FRA","FR30","France","cropland","cr",0.117,51,32600,3180,1047.46,7.53,47.39015,4.774936,8.9,897
"s064","FRA","FR31","France","cropland","cr",0.117,50.3,32000,3170,1107.34,7.55,47.390289,4.775035,8.9,897
"s065","FRA","FR32","France","cropland","cr",0.164,54.9,32700,3140,1081.97,7.73,47.390386,4.775062,8.9,897
"s066","FRA","FR33","France","cropland","cr",0.119,46.2,35400,3530,1080.58,7.5,47.390526,4.775187,8.9,897
"s067","FRA","FR34","France","cropland","cr",0.115,44.2,36000,3480,1084.13,7.49,47.390616,4.77522,8.9,897
"s069","FRA","FR36","France","cropland","cr",0.161,21.4,10400,1120,500.54,6.55,48.326813,2.382192,10.9,645
"s070","FRA","FR37","France","cropland","cr",0.167,19.8,13500,1360,580.1,5.9,48.327091,2.380599,10.9,645
"s073","SWI","CH1","Switzerland","cropland","cr",0.301,25.6,32100,3190,1050.02,7.54,47.27856667,8.637666667,9.1,1128
"s075","SWI","CH3","Switzerland","cropland","cr",0.208,21.1,20900,2190,858.32,6.54,47.52235,9.082366667,8.7,1064
"s076","SWI","CH4","Switzerland","cropland","cr",0.338,36.7,33500,3310,1427.18,7.25,47.32073333,8.63385,8,1200
"s078","SWI","CH6","Switzerland","cropland","cr",0.194,21.3,24200,2550,763.79,6.56,47.52306667,9.0824,8.7,1064
"s079","SWI","CH7","Switzerland","cropland","cr",0.184,25.8,30100,2370,1000.32,7.75,47.4419,8.4938,9,1092
"s081","SWI","CH9","Switzerland","cropland","cr",0.269,29.7,35500,3580,675.11,7.18,47.32463333,8.639233333,8,1200
"s082","SWI","CH10","Switzerland","cropland","cr",0.234,28.3,30600,3090,1713.92,7.05,47.45756667,8.460366667,9,1092
"s084","SWI","CH12","Switzerland","cropland","cr",0.352,45.2,51100,4790,1154.24,6.96,47.30628333,8.729283333,9.2,1102
"s085","SWI","CH13","Switzerland","cropland","cr",0.214,16.1,27700,2840,897.66,7.1,47.52735,9.051166667,8.7,1064
"s087","SWI","CH15","Switzerland","cropland","cr",0.153,31.4,23800,2410,1033.33,6.78,47.47786667,8.660983333,8.4,1119
"s088","SWI","CH16","Switzerland","cropland","cr",0.22,25.9,17600,1920,967.85,6.24,47.5452,9.0667,9.3,1002
"s090","SWI","CH18","Switzerland","cropland","cr",0.153,25.4,25500,2430,1151.03,7.36,47.46021667,8.686316667,8.7,1094
"s091","SWI","CH19","Switzerland","cropland","cr",0.281,39.7,37700,3780,1390.46,7.05,47.31295,8.7141,9.2,1102
"s093","SWI","CH21","Switzerland","cropland","cr",0.294,27.1,29000,3080,1348.76,7.17,47.18103333,8.287566667,9,1119
"s094","SWI","CH22","Switzerland","cropland","cr",0.136,27.4,32300,2400,1121.33,7.79,47.545917,8.684194,9.1,1034
"s096","SWI","CH24","Switzerland","cropland","cr",0.309,37.3,36600,4000,1139.35,7.2,47.18683333,8.295733333,8.4,1170
"s097","SWI","CH25","Switzerland","cropland","cr",0.2,30.6,45100,3030,1251.49,7.61,47.514944,8.695778,9.2,1043
"s099","SWI","CH27","Switzerland","cropland","cr",0.202,24.6,25000,2610,779.67,6.61,47.37053333,8.069066667,9.1,1028
"s100","SWI","CH28","Switzerland","cropland","cr",0.158,8.6,25600,1240,802.84,7.82,47.16695,8.31425,8.4,1170
"s102","SWI","CH30","Switzerland","cropland","cr",0.133,21.2,19700,2000,932.88,6.57,47.39183333,8.197383333,9.2,1037
"s103","SWI","CH31","Switzerland","cropland","cr",0.309,24.5,38500,4120,1502.26,6.7,47.17618333,8.3226,8.4,1170
"s105","SWI","CH33","Switzerland","cropland","cr",0.183,30.8,21600,2170,731.58,7.24,47.45466667,8.505983333,9.1,1090
"s106","SWI","CH34","Switzerland","cropland","cr",0.157,18.4,20300,2020,903.36,6.94,47.39145,8.197683333,9.2,1037
"s108","SWI","CH36","Switzerland","cropland","cr",0.14,19.5,17200,1620,473.79,7.18,47.41341667,8.11485,9.4,999
"s109","SWI","CH37","Switzerland","cropland","cr",0.135,14.7,19600,1950,1144.18,7.18,47.39468333,8.228516667,9.1,1055
"s111","SWI","CH39","Switzerland","cropland","cr",0.211,17.4,15400,1710,912.68,6.72,47.42441667,8.256333333,9.3,1035
"s112","SWI","CH40","Switzerland","cropland","cr",0.097,12.9,15800,1640,926.05,7.04,47.3903,8.235866667,9.1,1055
"s114","SWI","CH42","Switzerland","cropland","cr",0.169,19.1,16100,1650,897.66,6.6,47.41716667,8.176333333,9.2,1034
"s115","SWI","CH43","Switzerland","cropland","cr",0.245,18.8,18200,1870,950.97,6.85,47.44865,8.26865,9.3,1035
"s117","SWI","CH45","Switzerland","cropland","cr",0.292,38.1,58500,4710,1690.23,7.86,47.42788333,8.212366667,9.4,1025
"s118","SWI","CH46","Switzerland","cropland","cr",0.253,15.3,18300,2000,1012.14,6.31,47.45225,8.271816667,9.3,1035
"s120","SWI","CH48","Switzerland","cropland","cr",0.248,21.7,48100,2550,997.07,7.87,47.39946667,8.578533333,8.8,1112
"s121","SWI","CH49","Switzerland","cropland","cr",0.25,21.4,19600,2170,1011.41,7.3,47.4221,8.144833333,9.3,1012
"s123","SWI","CH51","Switzerland","cropland","cr",0.241,16.4,17800,1880,940.08,6.76,47.3921,8.5922,9,1099
"s124","SWI","CH52","Switzerland","cropland","cr",0.195,15.9,13700,1520,575.83,6.46,47.43316667,8.4015,9.1,1071
"s126","SWI","CH54","Switzerland","cropland","cr",0.222,16.1,21400,2330,887.53,6.12,47.32871667,8.750616667,8.9,1122
"s127","SWI","CH55","Switzerland","cropland","cr",0.184,29.1,14500,1720,864.96,6.24,46.3987,6.233016,9.9,966
"s129","SWI","CH57","Switzerland","cropland","cr",0.205,22.4,17700,1960,886.36,7.4,46.3987,6.233016,9.9,966
"s130","GER","CH58","Germany","cropland","cr",0.235,35.4,69700,3780,566.15,7.91,48.14403333,10.69398333,8,906
"s131","GER","CH59","Germany","cropland","cr",0.231,22.5,27300,2870,918.23,6.25,48.32361667,10.6249,8.3,840
"s132","GER","CH60","Germany","cropland","cr",0.352,37.8,72600,3310,544.19,8.06,48.18803333,10.72518333,8.1,892
"s133","GER","CH61","Germany","cropland","cr",0.269,18.7,12400,1270,768.05,6.12,48.02288333,10.76066667,7.8,956
"s134","GER","CH62","Germany","cropland","cr",0.113,23,16800,1760,847.25,7.18,48.62366667,12.82723333,8,902
"s135","GER","CH63","Germany","cropland","cr",0.127,33.1,13500,1430,457.08,7.43,48.65931667,12.77893333,8.1,871
"s136","GER","CH64","Germany","cropland","cr",0.127,20.6,13700,1420,809.63,6.98,48.6476,12.9002,8.3,878
"s137","GER","CH65","Germany","cropland","cr",0.083,19.7,12500,1280,659.78,6.96,48.75203333,12.8242,8.4,812
"s138","GER","CH66","Germany","cropland","cr",0.125,26.2,24900,1640,735.69,7.79,48.1639,10.76105,8.1,912
"s139","GER","CH67","Germany","cropland","cr",0.13,24.6,19800,1890,893.98,7.68,48.1594,10.7612,8.1,912
"s140","GER","CH68","Germany","cropland","cr",0.107,23.7,19700,2000,615.52,7.33,48.15971667,10.7292,8.1,908
"s141","GER","CH69","Germany","cropland","cr",0.098,23.6,13800,1430,559.7,7.49,48.20721667,10.77866667,8.1,900
"s142","GER","CH70","Germany","cropland","cr",0.133,23.5,17400,1740,684.91,7.48,48.61168333,12.60896667,7.8,879
"s143","GER","CH71","Germany","cropland","cr",0.112,24.2,15200,1650,964.27,7.13,48.64461667,12.84023333,8.3,874
"s144","GER","CH72","Germany","cropland","cr",0.226,32.9,34900,3780,1346.22,7.02,48.64271667,12.83461667,8.3,874
"s145","GER","CH73","Germany","cropland","cr",0.122,30.8,31400,1400,573.14,8.03,48.64233333,12.79008333,8.1,871
"s159","GER","GE13","Germany","cropland","cr",0.11,11.2,11800,1010,616.3,7.56,54.31162,9.98116,8,774
"s160","GER","GE16","Germany","cropland","cr",0.109,20.8,13200,1140,597.18,6.9,54.312154,9.979049,8,774
"s161","GER","GE19","Germany","cropland","cr",0.131,18.1,13900,1200,703.5,7.23,54.31663,9.998858,8,774
"s162","GER","GE22","Germany","cropland","cr",0.097,14.5,13500,1160,751.91,7.12,54.313605,9.997345,8,774
"s163","GER","GE25","Germany","cropland","cr",0.145,20.6,14100,1260,568.52,7.19,54.318436,9.990228,8,774
"s164","GER","GE28","Germany","cropland","cr",0.134,17.1,12600,1100,610.08,7.43,54.315818,9.986797,8,774
"s165","GER","GE31","Germany","cropland","cr",0.089,18.8,10700,990,621.16,7.01,54.312005,9.976471,8,774
"s166","GER","GE34","Germany","cropland","cr",0.101,17.7,11300,1060,660.73,7.05,54.312008,9.976011,8,774
"s167","GER","GE37","Germany","cropland","cr",0.1,15,12100,1140,652.18,7.13,54.312146,9.975575,8,774
"s168","GER","GE40","Germany","cropland","cr",0.108,19.3,14200,1150,587.01,6.89,54.3127,9.998685,8,774
"s174","GER","GE58","Germany","cropland","cr",0.078,12.2,11700,1040,347.37,7.16,53.350577,13.743945,8.4,563
"s175","GER","GE61","Germany","cropland","cr",0.066,13.1,12400,1050,459.26,6.93,53.364539,13.721519,8.4,563
"s176","GER","GE64","Germany","cropland","cr",0.084,18.1,10400,840,575.59,7.41,53.336125,13.645535,8.2,574
"s177","GER","GE67","Germany","cropland","cr",0.074,13.4,13300,1030,469.65,7.92,53.323387,13.778924,8.5,561
"s178","GER","GE70","Germany","cropland","cr",0.085,12.6,18100,1040,527.21,7.94,53.343158,13.79236,8.6,552
"s179","GER","GE73","Germany","cropland","cr",0.055,10.8,9500,760,421.92,7.39,53.372768,13.800448,8.6,552
"s180","GER","GE76","Germany","cropland","cr",0.081,15.9,15200,1320,579.73,7.42,53.32177,13.793753,8.6,551
"s181","GER","GE79","Germany","cropland","cr",0.052,16.9,8700,640,423.92,6.86,53.373274,13.801252,8.6,552
"s182","GER","GE82","Germany","cropland","cr",0.071,17.5,8200,630,382.92,6.91,53.372947,13.80056,8.6,552
"s183","GER","GE85","Germany","cropland","cr",0.052,18.1,7400,510,401.79,6.75,53.373097,13.800563,8.6,552
"s184","SWE","SW1","Sweden","cropland","cr",0.18,43.9,22600,2300,1005.46,5.58,59.832631,17.698857,5.8,551
"s185","SWE","SW2","Sweden","cropland","cr",0.17,46.9,25800,2540,996.95,5.62,59.832631,17.698857,5.8,551
"s186","SWE","SW3","Sweden","cropland","cr",0.15,31.6,17900,1680,1237.18,6.34,59.832631,17.698857,5.8,551
"s187","SWE","SW4","Sweden","cropland","cr",0.12,27.8,17200,1630,1069.07,6.38,59.832631,17.698857,5.8,551
"s188","SWE","SW5","Sweden","cropland","cr",0.16,31.1,19300,1830,1219.78,6.68,59.832631,17.698857,5.8,551
"s189","SWE","SW6","Sweden","cropland","cr",0.15,37.2,17400,1690,1175.58,6.9,59.832631,17.698857,5.8,551
"s190","SWE","SW7","Sweden","cropland","cr",0.16,31,17900,1780,1143.15,6.62,59.832631,17.698857,5.8,551
"s191","SWE","SW8","Sweden","cropland","cr",0.16,23.7,19100,1820,1037.91,6.67,59.832631,17.698857,5.8,551
"s192","SWE","SW9","Sweden","cropland","cr",0.15,26,20200,1870,1078.09,6.67,59.832631,17.698857,5.8,551
"s193","SWE","SW10","Sweden","cropland","cr",0.13,27.4,16300,1600,1082.6,6.94,59.832631,17.698857,5.8,551
"s194","SWE","SW11","Sweden","cropland","cr",0.13,24.2,17000,1640,1088.07,6.85,59.832631,17.698857,5.8,551
"s195","SWE","SW12","Sweden","cropland","cr",0.11,21.5,18700,1760,1060.11,6.87,59.832631,17.698857,5.8,551
"s196","SWE","SW13","Sweden","cropland","cr",0.2,21.9,15300,1470,1047.29,6.54,59.832631,17.698857,5.8,551
"s198","SWE","SW15","Sweden","cropland","cr",0.11,48.8,18700,1650,620.19,6.47,58.347769,13.126463,6.3,656
"s199","SWE","SW16","Sweden","cropland","cr",0.06,45.2,16900,1560,546.93,6.1,58.347769,13.126463,6.3,656
"s200","SWE","SW17","Sweden","cropland","cr",0.15,44.3,25300,2360,686.24,5.9,58.347769,13.126463,6.3,656
"s201","SWE","SW18","Sweden","cropland","cr",0.12,43.2,22000,1950,721.35,5.96,58.347769,13.126463,6.3,656
"s202","SWE","SW19","Sweden","cropland","cr",0.14,45.4,21300,1910,767.24,6.18,58.347769,13.126463,6.3,656
"s203","SWE","SW20","Sweden","cropland","cr",0.05,45,19200,1660,636.56,6.14,58.347769,13.126463,6.3,656
"s204","SWE","SW21","Sweden","cropland","cr",0.14,44.6,20000,1710,721.31,6.16,58.347769,13.126463,6.3,656
"s205","SWE","SW22","Sweden","cropland","cr",0.12,45.8,21800,1870,696.07,5.95,58.347769,13.126463,6.3,656
"s206","SWE","SW23","Sweden","cropland","cr",0.14,46.5,22700,1930,766.39,5.93,58.347769,13.126463,6.3,656
"s207","SWE","SW24","Sweden","cropland","cr",0.12,47.2,20000,1650,755.48,6.25,58.347769,13.126463,6.3,656
"s208","SWE","SW25","Sweden","cropland","cr",0.14,42.6,17200,1560,744.52,6.42,58.347769,13.126463,6.3,656
"s209","SWE","SW26","Sweden","cropland","cr",0.13,46.2,21900,1820,589.22,6.76,58.347769,13.126463,6.3,656
"s211","SWE","SW28","Sweden","cropland","cr",0.14,21.9,18100,1700,494.96,6.31,55.66917,13.1027,8,631
"s212","SWE","SW29","Sweden","cropland","cr",0.14,24.8,12600,1140,491.76,6.38,55.66917,13.1027,8,631
"s214","SWE","SW31","Sweden","cropland","cr",0.31,16.4,28600,1870,1112.51,5.4,63.81083,20.24199,2.7,572
"s215","SWE","SW32","Sweden","cropland","cr",0.29,9.7,26700,1680,1151.38,5.78,63.81083,20.24199,2.7,572
"s216","SWE","SW33","Sweden","cropland","cr",0.28,9.4,26500,1640,1238.01,5.91,63.81083,20.24199,2.7,572
"s217","SWE","SW34","Sweden","cropland","cr",0.3,9.2,27300,1760,1315.21,5.59,63.81083,20.24199,2.7,572
